Sentence,Emotion
하루에도 몇번씩 추억을 찢어서 쓰레기통에 버리고이내 그걸 다시 꺼내 조각조각 맞추고 있네요..,슬픔
구수한 말투와 쉬운 요리비법 감사해요~~,행복
짜장이나 먹으러가야겠다,중립
배부른 소리지만 정말 갈피를 잡지 못 잡겠어요ㅠㅠ,슬픔
같은건 정말뭐라 말할수없네요 ㅋ..,공포
수상소감도 진짜 감동이였어요~,행복
그 와중에 도서정가제 보완을 요구하는 출판업계,중립
어느나라는 없고 있고는 불가능합니다.,중립
장거리라 더 힘들고 무섭다..,공포
좋아 올해는 뭔가 필이 온다^^,행복
온도감지 센서로 파악후 스피커로 크게 경고음 내주면 안되나... 간단할텐대...,혐오
그런데 정말 상관없이 뽑는건가요,놀람
중국인이 과연 물고기를 애완용으로 기를까?,놀람
실명공개하세요.,분노
대부분 노인들 꽁자로 타고 댕기니까 그렇치. .,혐오
우리 모두 맞춤법을 자알~ 지킵시다...,중립
초반에 엉성한 시트콤만 찍지않았으면 지금보다는 시청률 잘나왔을텐데..,중립
생각지도 않게 셋째가 생겼어요...,놀람
제 지인이 저한테 카톡으로 죽고싶다는 말을,공포
아빠가 너무 무서워요.......,공포
비싼 차가 뒤에 와 들이받는 게 앞차 잘못은 아니잖어?,놀람
너무 좋은드라마인데 몰라주는게 짜증난다..작가님 책으로 내줘요,행복
방수기능 할려구 이어폰 잭 없앴는데도 방수가 안되는 아이똥 ㅋㅋㅋㅋ,혐오
요리는 여자만 하는것이다라는 생각과  어렵다는 생각을바꾸게 해주셨습니다,행복
늙어서 노망들었네...,혐오
얘는 내려오게 못하나??,혐오
병원가봐야 할까요??ㅠㅠ그리고 생리는 언제쯤..할지..?,공포
그 여자애가 연예인을 좋아해서 전에 생일때도 앨범을 사줬는데 좋아하더라구요.,행복
최초 태블릿은 조작되었군,분노
야이게문제가아니라동영상어트게막냐??,분노
땡큐.^^,행복
그외 한국만 들어오면 소비자를 봉으로 아는 자동차 회사들!!,분노
적당히 해먹었어야지 그러니까,중립
당신 당선에 한표 준 사람들이나 지지자에대해최소한 양심이 있으시다면 꼼수 그만 부리시고 당당히 특검조사에 응하십시요!! 너무 졸렬한 꼼수에 어의가 없습니다.,분노
"팜투베이비 이유식 같던데,먹여보신분 계신가요?",놀람
인간의 욕심이 만드는 허상일뿐 귀부인은 완성될 수 없습니다,혐오
안심시키는 방법이 무엇인지 고민이에요,슬픔
헉 진짜 댓글 지우나보네..,놀람
세계 3차대전이 일어나겠네,중립
근데 전공특성상 부족한전공지식으로회사생활자체를 할수있을지 모르겠네요..,공포
제주 짱깨땅 회수하라,분노
남자로 태어난게 죄인듯...,슬픔
하나 침몰 시켜라.,분노
옳은 선택인지 모르겠음,공포
완죤 내스타일♡♡♡♡♡♡♡,행복
국민들앞에 허구헌날 거짓말한 죄도 물어라,분노
태양 반대편에도 행성이 있을 가능성 ?,중립
첸도 기부했는데 ㅎㅎ 역시 친하게 지내는 그룹끼리♡ 방탄분들 마음씨 너무 착하세요!,행복
황교안 대통령 권한 대행님이 무섭긴 무서운모양입니다 !,놀람
그냥 구단 엿먹으라고 은퇴해라.,분노
비교할사람이랑 비교를 해야지;;;;,공포
막장은 드라마에서만 있는게 아니군..,놀람
아니 사람사는 데인데 장마때마다 여기 엄청 고생해요 ㅠㅠ,슬픔
"외국인이여도 보여주면 네멋대로해라, 연예시대, 다모가 재미있다는걸 안다 이거 이상하다",놀람
800일 축하해♡,행복
언니오빠들 바쁜데미안글너무 자주 올려서 ㅠㅠㅠㅠㅠ,슬픔
제가차였죠,슬픔
진품명품에 한점만 가지고 나가도 천만원은 받겠다...,슬픔
페이스북에 잘난부모둔게죄냐는 글올린 당당함은 언제그랫었냐는듯 전혀다른사람같은태도군,혐오
쇼 하시네,혐오
개쓰레기다 나는 재활용도 안되는,슬픔
또한 오래살려면 공부 연애를 하지 말아야 한다.,중립
생긴것도 엄청 귀엽고 웃을때는 정말...,행복
기상청이틀뒤에 불지르러간다,분노
다시 허리가 아프신건 절~~~~~~~때 아니죠?,공포
그게 무슨 의미가 있니..,혐오
한편으로 보면 축하해주고 싶지만 애들입장에서 좀 그런것같네 연애도 중요하지만 애들도 잘 챙겨줄것라고 믿습니다 이쁜사랑 축하해요,행복
불문과 강사 어떠냐고왜 조언 안 해주냐고ssㅑㅇ아아아아아으,슬픔
데이트 비용 문제 때문에 그러는데..,공포
김앤장을세무감사 해보소그네는 죽어도 못 할걸,혐오
외국차든 국내차든 한국사람들 호구로 보지 뭐..인구수 적은게 뭔죄냐??,중립
무기징역에 전 재산 환수하는 꼴을 보고야 말겠다,분노
그냥 카메라를 하나 사면안돼?..,공포
밝혀야 할 것중에 여자로서 밝히기 힘든 뭔가가 있나보죠?,혐오
미세먼지 쩐다.쩔어.....,놀람
왜 혼자 밥을 못 먹지?,놀람
근데 지금 다닌 회사 퇴직자분께 충격적인 말을 들었습니다ㅠ,놀람
미숙아로 태어나서 엄청걱정했는데~~~,공포
pd너도 참 욕처먹어 가면서 담담하게 폐지 안시키네,혐오
이유없이 너 무당하는거같아서 답답하네요,슬픔
삼성불매삼성불매♬♬♬,혐오
내가보기엔 10억명 넘지않아?,놀람
모 여초 카페 회원님들 이상한 글 싸지르지 말고 이시영 같은 정신력으로 좀 살아봐라,분노
첫번째 사진 너무 충격적이네요,놀람
더울땐 사무실이 짱....,행복
이경재 : (손사래를 치며) 아침에 이 안닦았어??,놀람
연락드려서 커피라고 한잔 하자고 할까요?,공포
현실망각자 또라이 닥년과 그졸개들 구속처벌합시다,분노
이런세상에서 사회에서 세금내고살고있다는것이??내가 멍청이다,혐오
받을 수있을까요ㅠㅠㅠㅠ,슬픔
겨울다운 날씨가 와서 감사합니다,행복
그냥 눈도 온다고 그래~,중립
너 있잖앙~~~~~,중립
시리아랑 비기는거보고 불안함 ㅠㅠㅠㅠ,공포
박초롱 윤보미 정은지 손나은 홍유경 김남주 오하영 에이핑크♡핑크판다 영원하자!!,행복
형보다 더 밉상이다 실타,분노
중2 남 학생 입니다,공포
와 안본사이에 많이 컸네,놀람
감사합니다,행복
"기사를 보니, 수구꼴통 이데일리도 박사모를 패대기쳤다카이!",분노
원탑이면서 자만히지 않고 착하고 아름다운 수지,행복
최순실없는 최순실청문회만들어놓고 xx가튼게,분노
바로 저런것들때문에 트럼프가 당선이 된거지.,혐오
전에 송민호 주간 아이돌 나온 거 보니까 ㅈㄴ 웃기던데 ㅋㅋ,행복
왜이리 포켓몬 거려 ㅋㅋㅋㅋ,놀람
범죄와의전쟁도 재미있었는데 국가대표도 그렇고 역시믿고보는배우라고 너무끼가많아요,행복
혹시 기춘이 첩실아님??,중립
이런 년을 대통령이라고 ㅉㅉㅉ,혐오
정부는 핵대중이 똥싸놓은 여성가좃부를 해체하라.,분노
보아 정치인이나 재벌쪽 만날줄 알앗는데 얼굴 보나보네,놀람
전 허벅지가 진짜 단단해서 스쿼트도 안 되거든요; ㅠㅠ,슬픔
너와 닭으로 인해 우리나라 국민이 힘들다.,분노
이 이름 그대로 써도 될런지.,공포
백주부님  감사합니다.~~~^^,행복
막 후리보면인터넷으로시켜서하는거던데 사기당하진않을까요?,공포
제발 한다고 까발려 놓은 일이라도 제대로 해라 맨날 뒷북치지말고,분노
전 좀 춥네요.,중립
이야..토론토 강하네,놀람
신범죄구단 엔씨 ㅋㅋㅋㅋㅋㅋㅋㅋ 축하한다,행복
그래 전진은 열심히 신화만해라 혹시나 무도에서 섭외 가도 보는 시청자들 위해서 절대 하지말고,놀람
여자라 막노동도 못 하고 친구들 다 대학가고 할 수 있는게 없다,슬픔
가야될새끼들은 안가네,분노
도박하고는 인연이 없는걸 잘 알고 주식도 도박이라 생각하고 있습니다,공포
그 사람은 제 생각하지 않겠죠,슬픔
이 선동하는 무리들을 보라 이 선동을ㅈ언급하기전에 이북에 애송이 적나라 하게 욕하고 시작하면 그 말을 믿어줄게 좌빨들아,혐오
헝헝솔직히 거기가면 펑펑울거같은데ㅠㅠㅠㅠㅠ..ㅋ,슬픔
뭘기대하누 대한민국,분노
여기나 저기나 틀딱들이 투표로 나라 말아먹네. 노인공경은 개뿔..,혐오
지겨운 바퀴벌레 같은 것들,혐오
욕이 육성으로 나왔어요,분노
광화문에 75만?,놀람
캠퍼스 찐따들데리고 패셔니스타 한거임?,중립
해경이 없어져야 할게 아니고 있으나 마나한 외교부가 없어져야 하는거 아니냐,슬픔
그리고 헤어지고나서 오랫동안 못잊을까바 두렵네요....,공포
박근혜의 인생은 악의 연대기 !!,분노
박근혜와 ㅡ새누리가ㅡ나라를ㅡ망가뜨린다,분노
응 돌아가~나라 팔고 온게 자랑이냐?응 돌아가~,혐오
맘 한켠이 허전해지네요 ㅠ,슬픔
정말 보고 빠져들었어요ㅠ,중립
신호대기서있어도 말은계속달리다,놀람
완벽한 결말을 위해 힘들지만 저희가 기달리겠습니다♡,행복
아휴 둘다 역겹다 역겨워 ㅡㅡ,분노
그럼 여태 내가 한식이라고 알고 먹은것들은 대체 뭐지?,놀람
짝남 앞에서 음료수 흘려버렸어요...ㅎ..ㅎ...,슬픔
한번 먹일거만 조금남아있는데 어떡하죠,공포
연락하는 사람 있다하네걘 나보다 얼마나 이쁘고 잘났길래너한테 얼마나 잘해주길래차라리 너가 빨리 걔랑 사겼으면 좋겠어,슬픔
수시는 무리인거 같고?진짜 이런경우는 수능밖에 없겠죠?,슬픔
새로 지은 집말고 헌집은 그런 집 많음.,중립
강한울선수 그동안 수고하셨습니다...,행복
"쉽고 간편한 음식만들기 비법 전수하시는 당신, 백선생님 정말 멋져부러유~~~~~",행복
미친척하면 사면해준다면서요?,슬픔
자기 집까지 데려오고 막지도 않았는데 문제 될게 있냐?,슬픔
노래 만들고 안무 만들고 다같이 맞춰보고 진짜 고생했어요 ..,행복
은근 꿀잼이던데~~~,행복
얼굴이 김태희가 아니더라도 도용당할 수 있다는걸 뼈저리게 느꼈네욬ㅋㅋㅋㅋㅋ,분노
죽어라 진짜...더러워,혐오
이래서 여친이안생기나...늙꼬님처럼잘생겨야 알아서 여자가꼬이나 늙꼬님개부럽 ㅜ ㅜ 근데 키가몇이에요?,슬픔
많이받아쳐드시고 이젠 쳐받아먹은 밥값해야것지!!,혐오
넘멋있어용 김연경,행복
역시 개같은 대한민국 정부의 병신력은 만렙..,혐오
남녀주인공 일단 비쥬얼은 최고.,행복
아무것도 시작한게 없어서 아쉽고 생각만 나고 미치겠어요,슬픔
그 이후로는 무덤덤하게 그냥 하더라구요?,슬픔
옛날 하고 다르다 국민들 다안다 찐자 바보로 아냐,혐오
한국에서 20승하던 벤헤켄도 망했는데 평자4점대 후반찍는놈이 무슨,혐오
"스코트랜드, 북아일랜드, 웨일즈 와 카탈루냐 등등은 모르겠는데 티벳은 반드시 통일 국가를 이룩해야 한다.",중립
정말 너무 힘든데 다들 힘드시겠져?,슬픔
캬!! 장관이로고 자연의 아름다움이 느껴지네,행복
헤어지면??????,놀람
누가 끝이 좋은 인생을 마감하게 될 지 지켜보자.,중립
3세계 사람들은 자원만 털리다 끝나겄네,중립
그리고 단식 끝나고 죽을 먹으라는데 죽몇일간 죽을 먹어야 하는지 ..,공포
후반기부터 마무리 맡았는데도 기세가 대단하네.,행복
500살 넘는것도 있답니다. 정말 대단한거 같아요.,행복
김머중 부관참시나 해라,혐오
주휴수당 이런 개같은거 하지말고 최저시급을 애초에 올려라,분노
아...ㅈㄴ당황스럽다...뭘까...뭔뜻이여ㅠ,공포
연예대상이 무한도전 공로상인것처럼 말하네,공포
저 정도가 무슨 한파라고 그냥 겨울 날씨더만안 추워,중립
정말 저 어떡해야할까요,공포
직원 어떻게 뽑아야 하나요--;;,슬픔
저사진 다시는 쓰지마.,혐오
진짜이런건 배워야함,슬픔
믹키장실과 다르게 표정에 자신감이 넘치잖아,놀람
이렇게 논란이 많은 사건을 재판도 안가보고 쉽게 결론을 내다니...,놀람
당연히 물려야지 대기업에서 로봇생산 할꺼고 개념만있는 대통령이면 그세금으로 딴짓은 안할꺼니까 세금으로 복지에 써야한다,혐오
이 기사에 댓글이 지나치네.새해 덕담은?,중립
맛난 반찬 감사했습니다,행복
신이내린 완벽한몸매...,행복
왐마~~~ 멋지네~!!!,행복
김치년가요 한남충인가요???성별이 표시가 안되어있네,분노
좋은기사..박수쳐줄만하다,행복
진짜 이나라 고위공직자라고 앉아있는 인간들은 하나같이 답이없네,슬픔
그런 제가 백댄서 알바를 할수있을까요??,공포
국방백서에 주적을 일본으로.해야 할듯.,중립
아울러 투유유교수는 중의사가 아니라 백신을 연구하는 약리학자다.,행복
국내에서 터졌을때는 댓글알바들이 전자랜지에 구웠다고 우기더니 미국에서 터지니 바로 꼬랑지 내리네,분노
아버님 일단 딸 얼굴보고 판단할게요..,중립
우유병그거보고는 아주조금 으응?...,놀람
왜 그토록 세월호를 막는이유 세월호 방사능 이라고 검색해보세요 충격받음,놀람
연락이 안오네요 ㅠㅠ,슬픔
나에겐 뜬 구름 잡는 소리이다,중립
대기업유보금만 풀면 100% 해결됨.>,행복
병원은 부모님께 아직 말씀안드려서 못가고말씀드리기엔 좀 뭐하네요,공포
《송중기》 깜짝출연 같이불러요~!!!!,행복
토요일마다 비오네 짜증난다,분노
지금 해뜨네요??ㄷㄷ,놀람
모두 다 처음이었어..,슬픔
현실은 선과악중 대부분이 악의 승리,중립
수비불안에 지동원은 더럽게 못하고 여러모로 문제가 심각하게 많다 물.갈.이.해.라,혐오
저나라는 고소득층과 젊은층이 난민 받아들이는 잔류를 희망했다네요? 한국은 반대잖아..,중립
왠지 쌩뚱맞게 인디언스 우승할꺼 같다,중립
재벌이 백성에게 해준게 뭐 있냐..,분노
물론 키도컷지만 예전에비해서 어깨가 너무 넓어졋어요..,공포
예정화 부럽다ㅜㅜㅜㅜㅜㅜ,슬픔
헌재 응원합니다.특검.. 응원합니다.,행복
그전에는 하루에 세번씩이나 전화오고아무리 바빠도 몰래라도 전화하던 남자친구인데요,혐오
삼성 보조배터리로 충전하면 엄청 뜨거워짐,놀람
그러면 애미 둘이서 남김없이 불거다.,분노
청와대가 범죄자 집단이네,분노
젊은세대에게는 헬조선늙은세대에게는 지옥조선.,분노
이러다 감옥에서 못 나오면 어쪄,공포
그냥 연기를 잘하는거지 그 조인성이랑 했던 드라마에서 연기 좋던데,행복
싹다 잡아 쳐넣어라,혐오
대신 삼성은 부품을 팔아서 이득을..,중립
둘이 사귀는거 기사보고 첨 알았네ㄷㄷ,놀람
찾아서 보니까 어떤여자가 실제로 1cm줄었다고 인터뷰하는게 있었는데 아마도 거기가 이곳같음..,놀람
세계적으로 역사에 길이길이남을 현대판 대리청정!,분노
시바 김관진이 를 잡아족처야되,분노
등에 털이 등 중간부터 나기 시작해서 뒷통수까지 이어져있는데 이거는 어찌 해야되요..?,공포
껄껄껄... 이래서 최신폰은 두고보고 사야된당께...,중립
안좋은건 다 일등이야,공포
대륙 진짜 상상을 초월하네...,놀람
이사람은 저를 매일보니 저에대해 추억해볼일도 없겠죠?,슬픔
지네들이 뭐라고 저딴사진을 찍냐?,분노
내일 입사시험을 앞두고 있어 잠을 잘 못자고 있었는데 재방송으로나마 연아양의 에너지를 전해받은 기분이에요.,행복
대박! 흥민아 부상 당하지말고 이대로 간다면 더 좋은팀으로 갈수잇다,행복
달에 외계인이 지구를 감시한다더군,공포
뭔가이상하게흘러가는것같네!블랙리스트가먼저가아닌데...,중립
바가지가게영업정지택시사기죄 구속시켜리ㅣ,중립
자신이 하고 싶은 여러가지를 시도할 수 있는 환경이 된다는게 그저 부러워요,행복
한시즌에 3할대 타율에 100도루가 달성된다면 영원히 깨지지 못할 대기록이다!!!!!!!!!!,행복
축하하고 역시내오빠들,행복
아님 계속 학생이고 싶었나요?,놀람
감사할 뿐입니다 ^-^,행복
송지효 진짜 로또해도 1등 대박일듯,중립
이번소행이 북한아니라고하는 좌빨들 제발 정신차리고 전향해라,분노
제발 탄핵시키자,혐오
지롤을 하세요,혐오
당장 오늘도 못맞추면서 무슨 6 10개가온다고 ㅉㅉ,분노
이걸로 영창가나요ㅠㅠ??,공포
"(읍출신)서울이 진짜 반짝반짝 빛나고, 멋있더라고요",행복
출금은 언제부터 되고...,공포
기술행정PC운용  막 경쟁률이 71:1이래요...,놀람
골키퍼가 젤 불안!!,공포
신규 포켓몬들은 내가 모르는 포켓몬들임....,놀람
댓글부대 박정원 돈사모들 드글드글,혐오
삼성 일가이제는 추락할 때이다,혐오
"연봉 70억이 적은 액수가 아닌데, 짱개머니랑 비교하니까 되게 초라하게 느껴지네..",놀람
주식이 하루에 한주당 십만원이 떨어지네 ee,놀람
정말 따뜻하고 행복한 콘서트였어요!! 또 봐요. 자주자주 봐요!!,행복
현관문앞에 주황색 코트랑 안경쓴 여자애가 문구멍으로 나 쳐다보고있었던거...,공포
이대호 일본가니까 의미없다,중립
친구가 일 하는 회사인대실제로 봤음진짜 장난 아님,놀람
맨유로 오는거야??,놀람
일본계 고리 금융회사들 재산 동결 시켜라,중립
시민의 수준이 훨씬 높네,행복
저번주는 내내 된장찌개 생각나게 하더니 요번엔 볶음밥이랑 계란국 ㅠㅠ,슬픔
늘 감사드립니다,행복
그래야 친정팀인 롯데가 대책방안을 세울것 아니냐~양현종을 본받아라~,슬픔
졸리같은 외모는 진짜 배우 역사상 전무후무 할거 같다.,행복
"사람한텐 사자, 호랑이보다 표범이 더 무섭다는걸 이늠들이 알기나 알까?",공포
새해 복많이 받으시고올해도 건강하시고홧팅하세요^^,행복
참 미련스럽다는걸 깨닫는 요즘입니다,슬픔
마린시티..무섭네.,공포
하ㅏ아 난사장님한테 혼나겠네난줮댔닼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,공포
나는 사람들이 내 피부색에 대해 이야기하는 것을 두려워한다 ..............,공포
사람도 개인간에 어느정도 경쟁이 되어야 합니다.,중립
이딴새끼는 역적이다 신상공개해라,분노
매우빠름;;;;;;;,놀람
죽을꺼같아요..,슬픔
조선일보 우리아이가 달라졌어요 ㅋ,놀람
최순실하고 연관된건 아님???,놀람
니 뽑은 년 감옥에 있고만 뭘 위에서 뽑았다는 타령하고 있어,분노
그게 불가능하고 힘드니..,슬픔
중국에서 인기있다하다 티아라처럼 중국연예인될듯!,공포
다이호우 터가 안좋나?,놀람
정말 최고의 연기였습니다.,행복
제생각엔 둘다 그래픽쪽이나 성능은 비슷하다고 보는데 친구는 너무 엑박쪽을 몰아세우네요..,공포
"도둑이 제 발 저리다 라는 것처럼 박근혜 탄핵과 뇌물죄, 직권남용, 블랙리스트 등 범죄가 계속 나오고 불리해지니 막장까지 가고 있네ㅡㅡ;;;",혐오
아이고 의미 없다......,중립
심지어 작가도 아름답구나,행복
기사볼때마다 그냥 흐뭇하다 ㅋㅋㅋ,행복
동일 노동 동일 임금,중립
대통령이 아니고 여왕인줄 알았나,혐오
일들이 너무 많고 특검팀들 너무 고될거같아요..,행복
역시 개한민국답다 그럼 그렇구말구,혐오
본전도 못찾을 기사...,혐오
2년다닌 회사 때려쳤습니다,분노
어쨌든 오랜만에 보니깐 반갑^^,행복
헉~~ 우리가 이뿌다고 대통령으로 뽑았는줄아는겐가?,놀람
게다가 집와서 콧속 정리하는데 검은게 막 묻어나오더라...,놀람
니 자식 손자 놈들이 널보고 뭘배우겠니..,혐오
역시 허벅지 안쪽은 신의 영역인가봐요...,슬픔
딱히 팬도 아니고 좋아했던 사람도 아니지만용서라는 프로그램 봤을때 진심이 느껴졌고 어머님한테 잘하시길 바랍니다,행복
우째 이런놈을 문고리로심었을까?박근혜양!!ㅉㅉ,혐오
시민의식이 얼마나 중요한지 보여주는예ㅋ,중립
쭉쭉 올라라 구르미 파이팅,행복
욕심작작내고 경비원배치 4면 의무화법시켜라!!,분노
또 유기견 찾아주려 인터넷에 올리면 여자강아지만 유독 임시보호해준다는 것들이 있는데 조심조심. 개공장으로갈수있다.,공포
평소 관리만 잘 하면 나아질수 있는건지..,공포
공감 얻지 못하는 기사 휴가도 못가고 열심히 일하는 사람 열받아,분노
걱정이네요..,공포
역시 국대 에이스다...!!,행복
삶 속에서 힘들때 연아선수의 경기를 보면서 고비를 잘 넘겼습니다...,행복
순실아 상봉역 근처에 아파트 많이 삿니?,혐오
아이폰은 스그가 진리다.,중립
근혜야 태민이도 없는데ㅡ 무슨 얼굴을 가꿨냐?,혐오
어제 홈런은 정말 멋졌는데..,행복
불의를보고 참지 못하는 좋은 분이시네,행복
너희는 국적이 어디니??????,놀람
천불이 납니다,분노
삼성 홍보실에서 보호무역에 의한 피해자로 보도지침 배포했다더니 진짜인가보네 ㄷㄷㄷ,놀람
친박 의원 명단은 어디서 확인가능한가요??,중립
연봉 높으니까 이런 얘기라도 나오는거지,슬픔
전 여친이 생각이 계속 나고 저를 이제사랑하지않는데요,슬픔
넘비싸~~~제2에 한화사태가 우려된다,공포
오늘 너무 웃겼어요ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,행복
흔하디 흔한 멜로들은 가라 함틋...,행복
추석지났지만 선물이래아 감사합니다,행복
이래도 하고싶나 쭈쭈,슬픔
개한민쿡의 김치년들과는 너무도 다른 당당한 모습이 멋진것 같습니다....^^,행복
못사는것들 ㅂㄷㅂㄷ,분노
워후갑자기천둥치네..,놀람
또 기다리라고 이제는 사고나면 침착하게 합심해서 나와야한다,중립
박그네의 사람들은 정말 못 말리는 인간 쓰레기들이구나.,분노
생후 20일된 아들을 둔 초보맘인데요...,공포
네이버 뉴스댓글은 원래 백수들 놀이터아니냐?,혐오
봉선생님 감사합니다,행복
안그래도 개똥 이미지 나라 아주 말아먹는구나,슬픔
참다참다 두통이 너무심해(애기한테도 안좋다하기에)타이레놀 1알 먹었네요.,슬픔
모두 모두 반갑습니다.,행복
저런사람 보거나 얘기들으면 저런사람 부모가 궁금해진다,놀람
당신덕에 피겨라는 종목을 알게되고 당신덕에 즐거웠어요,행복
어디에서 보고도 깜짝놀랏다...,놀람
연합뉴스가 왠일이여???,놀람
정말 배신자임?,놀람
음??? 생각보다 벌금이 약허네??,놀람
중국국대보다 한국국대에 더 관심이 있는 것일 수도?,중립
설마 백종원?????????,공포
머리깨질거같습니다..,슬픔
0.0024% 불량률? 그건 불량률이 아니라 폭발 보고된 건수일 뿐이지,중립
중국에 몇천년간 속국으로 살아온한국똥깨들 다시그날들이 그립지...,분노
엔씨 더러운 비리 집단이잖아소병우가 힘좀 썻나보네,혐오
